# EnglishWordsRaw.txt — English word list, rebuilt 2026-08 from license-clean sources.
# Counts: hermitdave/FrequencyWords OpenSubtitles-2018 en_full (CC BY-SA 4.0),
# count >= 80, scaled so top ~1.2M. Inventory filter: English Wiktionary via
# Kaikki wiktextract (CC BY-SA 4.0) membership — drops subtitle OCR junk and typos.
# POS + CaseType: spaCy (MIT) Penn tags + MID-SENTENCE case shares over a 3M-sentence
# English Wikipedia sample (CC BY-SA 4.0, 2026-08 dump); register correction and the
# >=5%-representation guard mirror tools/case-seeds (see README there). CaseType from
# title share s_eff: <0.10 LO, <0.50 LF, <0.90 TF, >=0.90 TO; ALL-CAPS>=60% AC;
# mixed>=50% OC (surface from Wiktionary). Curated rows (abbreviations, extensions,
# contractions, I-forms) carried over from the previous hand-revised list.
# Fields: word;rawFreq;CASETYPE,POS1[,POS2[,POS3]]
may;15570;LF,NNP,MD
mother;15542;LO,NN
wrong;15463;LO,JJ
world;15449;LF,NNP,NN
bad;15423;LO,JJ,NNP
might;15304;LO,MD
three;15283;LO,JJ
today;15273;LO,NN
listen;15248;LO,VB
another;15232;LO,DT
understand;15224;LO,VB
hear;15034;LO,VB,VBP
remember;14935;LO,VB,VBP
ask;14770;LO,VB,VBP
own;14696;LO,JJ
same;14513;LO,JJ
show;14482;LF,NN
else;14204;LO,RB
kill;14152;LO,VB
talking;14074;LO,VBG
found;14064;LO,VBN,VBD
next;13988;LO,JJ,RB
getting;13805;LO,VBG
care;13796;LO,NN
car;13767;LO,NN
looking;13612;LO,VBG
son;13589;LO,NN
try;13579;LO,VB
woman;13534;LO,NN
went;13415;LO,VBD
hi;13352;LO,NNP,JJ
dead;13239;LO,JJ,NNP
many;13124;LO,JJ
mind;13044;LO,NN
friend;12847;LO,NN
best;12800;LF,JJS,NNP,RB
mom;12720;LO,NN,NNP
hell;12684;LO,NNP,NN
morning;12653;LO,NN,NNP
trying;12642;LO,VBG
boy;12610;LF,NN,NNP
together;12606;LO,RB
yourself;12589;LO,PRP
job;12460;LO,NN
saw;12421;LO,VBD
family;12278;LO,NN
real;12278;LF,JJ,NNP
without;12110;LO,IN
baby;12109;LO,NN,NNP
room;12097;LO,NN
already;11998;LO,RB
move;11830;LO,VB,NN
most;11797;LO,RB,JJS
seen;11773;LO,VBN
live;11715;LF,JJ,VB,VBP
miss;11710;LF,NNP
actually;11655;LO,RB
huh;11449;LO,NNP,UH
shit;11393;LO,NN,NNP
both;11285;LO,DT,CC
heard;11249;LO,VBN,VBD
once;11243;LO,RB,IN
ready;11141;LO,JJ
head;11123;LF,NN
called;11029;LO,VBN,VBD
used;10987;LO,VBN,VBD
idea;10967;LO,NN
knew;10963;LO,VBD
hold;10937;LO,VB,VBP,NN
happy;10927;LO,JJ,NNP
door;10885;LO,NN
such;10884;LO,JJ
fuck;10843;LO,NN,NNP,VB
brother;10833;LO,NN
also;10830;LO,RB
pretty;10817;LO,RB,NNP,JJ
bit;10793;LO,NN
took;10788;LO,VBD
haven;10774;LO,NNP,NN
yet;10752;LO,RB,CC
men;10726;LF,NNS
whole;10717;LO,JJ,NN
start;10689;LO,NN,VB
use;10675;LO,NN,VB
while;10670;LO,IN
since;10606;LO,IN
wife;10589;LO,NN
days;10553;LO,NNS
guess;10434;LO,VBP,VB,NN
tomorrow;10368;LO,NNP,NN
matter;10330;LO,NN
meet;10316;LO,VB,VBP
bring;10310;LO,VB
tonight;10276;LO,NNP,NN
everyone;10256;LO,NN
run;10179;LO,NN,VB,VBN
wanna;10134;LO,NNP
hard;10124;LO,JJ,RB
ah;10107;LO,NNP,UH
alone;10024;LO,RB
myself;10023;LO,PRP
school;10012;LF,NN,NNP
gone;10008;LO,VBN
um;9956;LO,UH,NNP
end;9895;LO,NN
saying;9863;LO,VBG
phone;9806;LO,NN
play;9749;LO,VB,NN
looks;9746;LO,VBZ,NNS
fucking;9706;LO,JJ,VBG,NNP
problem;9684;LO,NN
few;9645;LO,JJ
friends;9607;LF,NNS
gotta;9602;LO,VB
ago;9577;LO,RB
open;9574;LF,JJ,NNP
anyone;9518;LO,NN
killed;9516;LO,VBN,VBD
hope;9462;LF,NNP,NN
face;9399;LO,NN,VB
until;9386;LO,IN
lost;9271;LO,VBD,VBN
police;9228;LF,NN,NNS,NNP
excuse;9165;LO,NN,VB
turn;9111;LO,NN,VB
business;8998;LF,NN,NNP
case;8974;LO,NN
wants;8968;LO,VBZ
says;8966;LO,VBZ
true;8953;LO,JJ
die;8923;LO,VB,VBP
heart;8917;LF,NN,NNP
soon;8890;LO,RB
each;8835;LO,DT
worry;8809;LO,VB,NN,VBP
later;8707;LO,RB
year;8700;LF,NN
watch;8668;LO,VB,NNP,NN
music;8637;LF,NN,NNP
hand;8597;LO,NN
having;8591;LO,VBG
probably;8451;LO,RB
beautiful;8371;LO,JJ
doctor;8271;LF,NN,NNP
sit;8260;LO,VB,VBP
eat;8239;LO,VB,VBP
thinking;8165;LO,VBG,NN
young;8121;LF,JJ,NNP
second;8074;LF,JJ
working;8052;LO,VBG
water;8046;LO,NN
person;8031;LO,NN
part;8014;LO,NN
kids;8006;LO,NNS,NNP
late;8003;LO,JJ
stuff;7946;LO,NN
exactly;7900;LO,RB
under;7893;LO,IN
death;7878;LO,NN
minute;7877;LO,NN
pay;7871;LO,VB,NN
crazy;7869;LO,NNP,JJ
forget;7863;LO,VB
everybody;7859;LO,NN
kid;7831;LO,NNP,NN
change;7793;LO,NN,VB
gave;7772;LO,VBD
happen;7755;LO,VB
damn;7679;LO,NNP,RB
five;7654;LO,JJ
drink;7611;LO,NN,VB
far;7599;LO,RB
knows;7573;LO,VBZ
its;7528;LO,PRP$
whatever;7507;LO,WDT
eyes;7472;LO,NNS
shut;7436;LO,VBN,VBD,VB
hit;7410;LO,VBD,VBN,NN
taking;7406;LO,VBG
easy;7392;LO,JJ
times;7358;LF,NNS,NNP
check;7358;LO,NN,VB
hands;7349;LO,NNS
minutes;7299;LO,NNS
deal;7292;LO,NN
different;7281;LO,JJ
means;7266;LO,VBZ,NNS
point;7262;LF,NN
inside;7257;LO,IN,RB
makes;7181;LO,VBZ
asked;7159;LO,VBD,VBN
somebody;7153;LO,NN
mine;7113;LO,NN,NNP
making;7046;LO,VBG
body;7036;LO,NN
afraid;7035;LO,JJ
sleep;7007;LO,NN,VB
chance;7002;LO,NN
dear;6976;LO,NNP,JJ
quite;6960;LO,RB
four;6960;LO,JJ
anyway;6949;LO,RB
close;6948;LO,JJ,RB
party;6925;LF,NNP,NN
fun;6907;LO,NN,JJ,NNP
against;6879;LO,IN
word;6875;LO,NN
comes;6857;LO,VBZ
important;6852;LO,JJ
set;6843;LO,VBN,NN,VBD
shall;6843;LO,MD
story;6838;LF,NN
number;6805;LO,NN
daughter;6798;LO,NN
least;6791;LO,JJS,RB
waiting;6777;LO,VBG,NN
hurt;6729;LO,VBN,VB
wish;6678;LO,VB,VBP,NN
moment;6669;LO,NN
fight;6666;LO,NN,VB
week;6646;LF,NN,NNP
husband;6644;LO,NN
girls;6630;LF,NNS
rest;6627;LO,NN
married;6579;LO,VBD,JJ,VBN
fire;6567;LF,NN,NNP
game;6565;LO,NN
nobody;6545;LO,NN
children;6510;LO,NNS
side;6489;LO,NN
stand;6477;LO,VB,NN
read;6447;LO,VB,VBN,VBD
though;6439;LO,IN
cut;6436;LO,VBN,NN,VB
started;6434;LO,VBD
sister;6423;LO,NN
supposed;6383;LO,VBN
between;6358;LO,IN
child;6330;LF,NN
goes;6303;LO,VBZ
hours;6301;LO,NNS
speak;6291;LO,VB,VBP
women;6286;LF,NNS
behind;6189;LO,IN,RB
almost;6186;LO,RB
truth;6186;LO,NN,NNP
blood;6166;LF,NN
able;6136;LO,JJ
Lady;6133;TF,NNP,NN
anymore;6124;LO,RB
playing;6112;LO,VBG
gets;6089;LO,VBZ
shot;6035;LO,VBN,NN,VBD
reason;6019;LO,NN
trouble;5971;LO,NN
break;5965;LO,NN,VB
war;5954;LF,NNP,NN
city;5943;LF,NN,NNP
walk;5922;LO,VB,NN,NNP
town;5912;LF,NN,NNP
trust;5891;LF,NNP,NN
met;5886;LO,VBD,VBN
office;5883;LF,NN,NNP
question;5876;LO,NN
brought;5863;LO,VBD,VBN
yours;5859;LO,NNS,NNP,NNPS
welcome;5849;LO,JJ,NN,VB
high;5839;LF,JJ,NNP
wow;5819;LO,UH,NNP
couple;5794;LO,NN
half;5774;LO,NN,JJ
died;5770;LO,VBD
cool;5758;LO,JJ,NNP
free;5736;LF,JJ,NNP
either;5729;LO,CC,DT
seems;5698;LO,VBZ
power;5695;LF,NN
whoa;5693;LO,NNP,NN,UH
bye;5681;LO,NN,NNP
buy;5675;LO,VB
telling;5674;LO,VBG
honey;5654;LO,NN,NNP
tried;5644;LO,VBD,VBN
front;5642;LF,NN,JJ,NNP
team;5601;LO,NN
