# TiengVietWordsRaw.txt — Vietnamese SYLLABLE list (spaces delimit syllables, not
# words). Sources: hermitdave/FrequencyWords OpenSubtitles-2018 vi (CC-BY-SA 4.0,
# primary counts, scaled so top ~1.2M) and Vietnamese Wikipedia (CC BY-SA 4.0,
# 2026-08 dump: tail-count fallback for syllables unattested in subtitles, and the
# mid-sentence capitalization evidence behind the optional 5th field). Filtered to
# the phonotactic syllable inventory; tone spelling normalized to the traditional
# (corpus-majority) style. All surfaces lowercase; the optional 5th field seeds the
# runtime case-preference counts (lower:title) from MID-SENTENCE capitalization, so
# names like đắk present as "Đắk" first while a user's own selections can still
# flip any preference. Fields: syllable;rawFreq[;;;L:T]
tính;20636
đất;20629;;;3:1
đứng;20601
chiếc;20407
ngồi;20349
trông;19978
chứng;19776
kể;19754
khó;19730
quyết;19700
ảnh;19634
xa;19594
coi;19585
chịu;19415
tập;19356;;;3:1
súng;19288
vọng;19209
năng;18958
giá;18869
đàn;18828
tử;18803;;;3:1
hoặc;18793
sắp;18774
sẵn;18750
kiểm;18693
mở;18646
dừng;18587
chuyển;18474
uống;18460
xong;18430
đình;18356;;;3:1
dưới;18341
chọn;18302
ít;18298
chủ;18256;;;3:1
cao;18228;;;3:1
vật;18185
thử;18123
kiếm;18103
thống;18076
mắt;17931
điên;17894
kế;17890
phần;17884
trưởng;17848
biến;17776
lòng;17674
loại;17437
mạnh;17428
đấu;17310
thuốc;17273
sư;17236;;;3:1
thức;17182
dễ;16875
dụng;16846
trái;16823;;;3:1
vợ;16821
phía;16771
quái;16733
tiến;16713;;;3:1
điểm;16686
lực;16583
tệ;16560
chắn;16529
y;16501
quả;16438
khốn;16426
đau;16388
sàng;16361
gã;16342
phút;16239
sai;16236
mừng;16199
kỳ;16106;;;2:2
quên;15998
minh;15910;;;2:2
hơi;15718
tuần;15693
a;15689
thủ;15609;;;3:1
chân;15587;;;3:1
đặc;15566
kinh;15477;;;3:1
trí;15470
sức;15354
tàu;15308
mua;15307
trò;15237
quyền;15217
kìa;15210
may;15178;;;3:1
duy;15168;;;3:1
quý;15155;;;3:1
hạ;15099;;;3:1
mỗi;15059
buổi;15052
phố;15035
diễn;14954
bài;14915
đặt;14878
phép;14826
tháng;14772
tài;14733
nổi;14720
pháp;14689;;;2:2
thư;14634;;;3:1
vũ;14632;;;3:1
hiệu;14625
khách;14612
mặc;14592
quốc;14539;;;2:2
hôn;14527
mai;14506;;;2:2
to;14492
the;14484;;;3:1
máu;14391
đôi;14381
khiến;14342
khí;14325
phá;14315
tục;14300
hệ;14273
yên;14271;;;1:3
thú;14207
tuổi;14172
chuẩn;14141
tạo;14097
dẫn;14096
đơn;14075
hoàng;14074;;;2:2
phục;14054
luật;13996;;;3:1
cá;13952
dân;13922
hiểm;13718
nhiêu;13613
sách;13612
bàn;13559
mau;13556;;;3:1
chó;13543
độ;13543;;;3:1
mạng;13484
chúc;13418;;;3:1
nhiệm;13303
phạm;13301;;;3:1
thúc;13258
tránh;13234
thoại;13204
tiêu;13158
ư;13141
thắng;13114
xấu;12994
tinh;12966
gây;12964
ổng;12930
khu;12929
danh;12927
xuất;12917
tranh;12888
áo;12881;;;2:2
cây;12827
chí;12817;;;3:1
mật;12758
tiệt;12698
cấp;12654
sếp;12647
giả;12598
xử;12576
tấn;12561;;;3:1
hy;12529;;;1:3
liệu;12465
khá;12456
tượng;12401
lạc;12399
thiết;12399
địa;12396
thoát;12306
bán;12269
trình;12259
tạm;12168
đoán;12146
mời;12057
lệnh;12033
giáo;12031;;;3:1
chàng;12030
dự;12023
rời;12018
hứa;11935;;;3:1
ngon;11886
thiên;11875;;;2:2
sớm;11848
nằm;11843
thanh;11767;;;2:2
dịch;11738
viết;11738
dối;11698
vời;11649
hoạch;11645
khỏe;11485
giữa;11468
bóng;11419
nghỉ;11391
sử;11382
hộ;11353
nạn;11298
dậy;11278
ma;11274;;;3:1
hại;11256
hồ;11220;;;2:2
mục;11173
giỏi;11168
hướng;11106
căn;11092
tim;11085;;;3:1
nguy;11079
viện;11077;;;3:1
tĩnh;11060;;;2:2
đức;11025;;;0:4
tế;11006
băng;10989
đọc;10988
thuật;10986
phim;10979
kiểu;10954
phản;10954
nhóc;10918
trị;10881
cười;10876
bước;10869
trốn;10859
dấu;10844
rối;10844
rượu;10841
đá;10832
tù;10824
cánh;10743
tổng;10741;;;3:1
vòng;10719
giao;10711
lập;10704
mỹ;10650;;;0:4
lạ;10638
đóng;10613
hóa;10601
ngu;10583;;;3:1
tư;10505;;;3:1
tác;10470
hoa;10465;;;2:2
tụi;10450
thận;10402;;;3:1
hề;10399
ngốc;10399
ban;10377;;;3:1
lượng;10375
bánh;10364
càng;10360
bí;10230;;;2:2
án;10229
tức;10208
đám;10183
già;10170
di;10161;;;3:1
da;10129
lũ;10126
nghiệp;10114
tham;10070
thuyền;10058
nè;10028
văn;10014;;;3:1
độc;10009
mong;9992
gửi;9977
hạnh;9960;;;3:1
trang;9939
đùa;9939
hồi;9935;;;3:1
hẹn;9903
nhảy;9890
khóa;9812
trừ;9802
giác;9765
cáo;9758
khả;9746
khoảng;9745
thầy;9647;;;3:1
đầy;9632
món;9616
nghiệm;9573
cẩn;9532;;;3:1
suốt;9461
khoan;9444;;;3:1
phi;9402;;;2:2
kéo;9394
thất;9379
chồng;9340
nhật;9333;;;1:3
suy;9299
đông;9282;;;2:2
thị;9267
tiếc;9259
dành;9250
khủng;9244
mãi;9244
bữa;9230
trận;9225
vua;9210;;;3:1
lái;9166
đô;9163;;;3:1
chả;9159
nghi;9141;;;3:1
kiếp;9134
bức;9129
nàng;9107
triệu;9090;;;3:1
màu;9055
buồn;9050
tương;9033
đỡ;9001
biển;8996
dài;8987
im;8954
quanh;8938
tòa;8915;;;3:1
riêng;8854
hủy;8849
ngờ;8849
đạo;8822;;;3:1
nổ;8792
sơ;8775
chức;8714
thẳng;8697
chất;8680
chống;8664
đem;8650
tổ;8645;;;3:1
gắng;8635
linh;8630;;;3:1
mắn;8610
lịch;8606
thù;8598
lính;8578
chừng;8557
hoạt;8551
đuổi;8549
cầm;8540
thuộc;8515
mơ;8505
lửa;8500
ghét;8436
quen;8409
dạy;8365
nguyên;8346;;;3:1
kiến;8323;;;3:1
thả;8292
thiếu;8264;;;3:1
lợi;8239;;;3:1
cắt;8213
lắng;8173
thậm;8164
ngăn;8154
sở;8147;;;3:1
nhập;8124
trách;8122
lão;8105;;;3:1
thu;8102
ngôi;8090
hẳn;8061
ngựa;8058
nam;8050;;;1:3
chia;8045
vàng;8011
dây;8009
cưới;7986
nghị;7948;;;3:1
cũ;7935
ghi;7921
đen;7913;;;3:1
ly;7874;;;3:1
đạn;7874
âm;7873
binh;7844
ngoại;7837;;;3:1
truyền;7835
trợ;7830
kì;7815
tiệc;7755
dám;7741
phân;7741
tá;7736
phương;7734;;;3:1
ký;7733
vết;7712
tây;7711;;;1:3
đảm;7711
nhắc;7702
tai;7689;;;3:1
mối;7685
quần;7675;;;3:1
chấp;7648;;;3:1
phiền;7643
lựa;7596
nghiêm;7594
đổ;7549
la;7540;;;1:3
ràng;7502
chế;7495
ước;7486
nửa;7478
lầm;7475
quỷ;7454;;;3:1
nhờ;7378
bại;7377
cướp;7370
chung;7345
hát;7328
đằng;7314;;;2:2
chi;7274
tiểu;7274;;;3:1
hi;7265;;;1:3
cử;7205
huy;7195;;;3:1
mã;7151;;;1:3
chuyến;7136
thái;7065;;;1:3
lối;7063
lễ;7033;;;3:1
ca;7028
vượt;7024
cưng;7023
vùng;7018
phúc;6997;;;1:3
thuyết;6989
thi;6985
khăn;6979
nóng;6979
nhạc;6969
giấy;6915
lai;6896;;;2:2
tích;6879
tận;6878
tha;6854;;;3:1
rắc;6820
buộc;6781
thịt;6778
tiết;6776
đoàn;6763
kích;6763
xét;6741
tóc;6719
phù;6699;;;3:1
thuận;6690;;;3:1
thỏa;6682
trắng;6679
u;6673
tướng;6646
hòa;6641;;;3:1
